Ridículos!!,Ridiculous!,-0.41666666666666663
"RT @luisantgarcia: El único artículo que debiera tener la #ConstitucionMoral de @lopezobrador_:

1. Es inmoral (e ilegal) que un Estado lai…","RT @luisantgarcia: The only article that should have the #ConstitucionMoral de @lopezobrador_:

1. It is immoral (and illegal) for a State to ...",-0.25
"RT @luisantgarcia: El único artículo que debiera tener la #ConstitucionMoral de @lopezobrador_:

1. Es inmoral (e ilegal) que un Estado lai…","RT @luisantgarcia: The only article that should have the #ConstitucionMoral de @lopezobrador_:

1. It is immoral (and illegal) for a State to ...",-0.25
RT @18Lalogonzalez: Sr. @lopezobrador_ Yo voté por usted y trabajé mucho para que no le impactarán las injurias que nos hacían a usted y a…,RT @ 18Lalogonzalez: Mr. @lopezobrador_ I voted for you and worked hard so that you would not be shocked by the insults that were made to you and ...,-0.49583333333333335
"RT @DiegoPetersen: Llámenlo como quieran, pero el triunfo de @lopezobrador_ ha metido al país a discutir cosas que antes parecían inamovibl…","RT @DiegoPetersen: Call it what you want, but the triumph of @lopezobrador_ has got the country to discuss things that previously seemed immovable ...",-0.16666666666666666
"RT @multitud666: esta cuenta falsa, no es de #LópezObrador ABUSADO mexicano la cuenta de LópezObrador es está @lopezobrador_ https://t.co/o…",RT @ multitud666: this false account is not from # LópezObrador ABUSADO mexicano the account of LópezObrador is está @lopezobrador_ https://t.co/o...,-0.4000000000000001
"RT @epigmenioibarra: No toca a @lopezobrador_ actuar contra corruptos,no debe el presidente hacer -como en el pasado- que fiscales y jueces…","RT @epigmenioibarra: It's not up to @lopezobrador_ to act against corrupt people, the president should not do - as in the past - prosecutors and judges ...",-0.375
"AMLO es mi pastor, nada me faltara","AMLO is my pastor, nothing will be missing",-0.2
"Señor @lopezobrador_  ahora que va a mover a las dependencias a distintos lugares de la República, no podrá mandar al @SATMX a la chingada?","Señor @lopezobrador_ Now that you are going to move the dependencies to different places in the Republic, you can not send the @SATMX to the fuck?",-0.2
"RT @nestora_salgado: En la #reconciliación caben las disculpas públicas por difamaciones, calumnias, ofensas y un largo etc. También su rec…","RT @nestora_salgado: In the # reconciliation, public apologies for defamation, slander, offenses and a long etc. Also your rec ...",-0.025
"RT @xagovi1958: Definitivamente creo que @lopezobrador_  debe auditar a @EPN por este y otros rubros? 
@tatclouthier,  como vocera de AMLO…","RT @ xagovi1958: Definitely I think that @lopezobrador_ should audit @EPN for this and other items?
@tatclouthier, as spokesperson for AMLO ...",-0.0625
"@TigreCharr0 @lopezobrador_ @tatclouthier @m_ebrard @martibatres @Claudiashein Los 4 mencionados se limitan a tres , Batres no hay forma","@ TigreCharr0 @lopezobrador_ @tatclouthier @m_ebrard @martibatres @Claudiashein The 4 mentioned are limited to three, Batres no way",-0.07142857142857142
"RT @epigmenioibarra: No toca a @lopezobrador_ actuar contra corruptos,no debe el presidente hacer -como en el pasado- que fiscales y jueces…","RT @epigmenioibarra: It's not up to @lopezobrador_ to act against corrupt people, the president should not do - as in the past - prosecutors and judges ...",-0.375
"RT @gomanego: @PabloHiriart @lopezobrador_ @JoseAMeadeK Gusano. Cambiando la historia, tergiversándola con pregunta retorcida. 
La pregunta…","RT @gomanego: @PabloHiriart @lopezobrador_ @JoseAMeadeK Worm. Changing the story, twisting it with a twisted question.
The question…",-0.5
"RT @luisantgarcia: El único artículo que debiera tener la #ConstitucionMoral de @lopezobrador_:

1. Es inmoral (e ilegal) que un Estado lai…","RT @luisantgarcia: The only article that should have the #ConstitucionMoral de @lopezobrador_:

1. It is immoral (and illegal) for a State to ...",-0.25
@rubengluengas @RobertoTejero @AlfredoJalifeR_ @lopezobrador_ @JoseAMeadeK Absurdo,@rubengluengas @RobertoTejero @AlfredoJalifeR_ @lopezobrador_ @JoseAMeadeK Absurd,-0.5
"RT @nestora_salgado: En la #reconciliación caben las disculpas públicas por difamaciones, calumnias, ofensas y un largo etc. También su rec…","RT @nestora_salgado: In the # reconciliation, public apologies for defamation, slander, offenses and a long etc. Also your rec ...",-0.025
"RT @epigmenioibarra: No toca a @lopezobrador_ actuar contra corruptos,no debe el presidente hacer -como en el pasado- que fiscales y jueces…","RT @epigmenioibarra: It's not up to @lopezobrador_ to act against corrupt people, the president should not do - as in the past - prosecutors and judges ...",-0.375
RT @Navegaciones: ¡Por fin! El próximo miércoles 8 de agosto @lopezobrador_ será presidente electo. Qué largos están siendo estos 38 días e…,RT @Navegaciones: Finally! Next Wednesday August 8 @lopezobrador_ will be president-elect. How long these 38 days are being and ...,-0.025
RT @CarlosMorenaC: Adelantó @lopezobrador_ que Morena renunciaría a la mitad de las prerrogativas y que buscarían que la reducción se prese…,RT @CarlosMorenaC: It was anticipated @lopezobrador_ that Morena would give up half of the prerogatives and that they would look for a reduction ...,-0.16666666666666666
RT @LaOtra_Opinion: Analista financiero deja en ridículo a @lopezobrador_ sobre propuesta ambiental https://t.co/Cp5MvjHdRZ https://t.co/NJ…,RT @LaOtra_Opinion: Financial analyst makes a ridiculous @lopezobrador_ about environmental proposal https://t.co/Cp5MvjHdRZ https://t.co/NJ...,-0.16666666666666666
La ineptitud es igual o más peligrosa que la corrupción.,Ineptitude is equal to or more dangerous than corruption.,-0.033333333333333326
"Cuando leo cosas tipo #Chairoamuchahonra, #Pejefan y demás traumas y comedias, pido a nuestro próximo Tlatoani… https://t.co/Ra7ieVgKgt","When I read things like #Chairoamuchahonra, #Pejefan and other traumas and comedies, I ask our next Tlatoani ... https://t.co/Ra7ieVgKgt",-0.0625
@epigmenioibarra @lopezobrador_ Muy mal @epigmenioibarra  ya que primero son las instituciones y luego la accion ci… https://t.co/wYRsEnWb0w,@epigmenioibarra @lopezobrador_ Very bad @epigmenioibarra since first there are the institutions and then the action ci ... https://t.co/wYRsEnWb0w,-0.18666666666666662
@Chiva74 @lopezobrador_ De verdad qué se ve ridiculo.,@ Chiva74 @lopezobrador_ Really what looks ridiculous.,-0.06666666666666665
RT @CarlosMorenaC: Prepara @lopezobrador_ golpe contra la corrupción: sería delito grave y sin fianza https://t.co/8rtUnNkmOo,RT @CarlosMorenaC: Prepare @lopezobrador_ blow against corruption: it would be a serious crime and without bail https://t.co/8rtUnNkmOo,-0.3333333333333333
"RT @luisantgarcia: El único artículo que debiera tener la #ConstitucionMoral de @lopezobrador_:

1. Es inmoral (e ilegal) que un Estado lai…","RT @luisantgarcia: The only article that should have the #ConstitucionMoral de @lopezobrador_:

1. It is immoral (and illegal) for a State to ...",-0.25
"RT @rochiyito: Jorge los que no votamos por López, no nos sorprendió el nombramiento de Bartlett, ya q en campaña postuló a varios candidat…","RT @rochiyito: Jorge, those of us who did not vote for Lopez, we were not surprised by the appointment of Bartlett, since in the campaign he nominated several candidates ...",-0.025
"RT @luisantgarcia: El único artículo que debiera tener la #ConstitucionMoral de @lopezobrador_:

1. Es inmoral (e ilegal) que un Estado lai…","RT @luisantgarcia: The only article that should have the #ConstitucionMoral de @lopezobrador_:

1. It is immoral (and illegal) for a State to ...",-0.25
"RT @epigmenioibarra: No toca a @lopezobrador_ actuar contra corruptos,no debe el presidente hacer -como en el pasado- que fiscales y jueces…","RT @epigmenioibarra: It's not up to @lopezobrador_ to act against corrupt people, the president should not do - as in the past - prosecutors and judges ...",-0.375
@ferbelaunzaran @lopezobrador_ Te falló el oráculo...,@ferbelaunzaran @lopezobrador_ The oracle failed you ...,-0.5
Niño de 12 años que ingresó a la UNAM_MX pide a lopezobrador_ no repetir errores de otros presidentes… https://t.co/cYIQkGXAXc,12-year-old boy who joined UNAM_MX asks lopezobrador_ not to repeat mistakes of other presidents ... https://t.co/cYIQkGXAXc,-0.125
@rgbenibel @Begso2 @lorena96438260 @GuzmanSoely @lopezobrador_ se pueden molestar sus 12 seguidores,@rgbenibel @ Begso2 @ lorena96438260 @GuzmanSoely @lopezobrador_ your 12 followers can be annoyed,-0.4
RT @PdPagina: Legalmente no es presidente electo pero @lopezobrador_ se ha convertido en el virtual mandatario. Un gobierno paralelo que co…,RT @PdPagina: Legally he is not president-elect but @lopezobrador_ has become the virtual agent. A parallel government that co ...,-0.05
"El arte de educar chayotes sin argumentos es cansado, demandante, y un proceso lento. 
Por ejemplo:","The art of educating chayotes without arguments is tiring, demanding, and a slow process.
For example:",-0.30000000000000004
"RT @alika_malaika: @LauraBruges ¿Hay que recordarles lo que dijeron uno del otro? ¿Será que se les olvidó, o sólo fue tele comedia para eng…","RT @alika_malaika: @LauraBruges Do you have to remind them what they said about each other? Could it be that they forgot, or was just tele comedy to eng ...",-0.125
RT @LaOtra_Opinion: Analista financiero deja en ridículo a @lopezobrador_ sobre propuesta ambiental https://t.co/Cp5MvjHdRZ https://t.co/NJ…,RT @LaOtra_Opinion: Financial analyst makes a ridiculous @lopezobrador_ about environmental proposal https://t.co/Cp5MvjHdRZ https://t.co/NJ...,-0.16666666666666666
RT @pepecervera: @PabloHiriart @DAVIDROMEROVARA @lopezobrador_ @JoseAMeadeK AMLO estaría en reforma plantado gritando (y llorando) fraude!!,RT @pepecervera: @PabloHiriart @DAVIDROMEROVARA @lopezobrador_ @JoseAMeadeK AMLO would be in reform planted screaming (and crying) fraud !!,-0.3125
"RT @epigmenioibarra: No toca a @lopezobrador_ actuar contra corruptos,no debe el presidente hacer -como en el pasado- que fiscales y jueces…","RT @epigmenioibarra: It's not up to @lopezobrador_ to act against corrupt people, the president should not do - as in the past - prosecutors and judges ...",-0.375
"RT @Pipe_cm: @ProfeGaby1961 @umbaldi @lopezobrador_ Mmmm pues que poquito le duraron los huevos a Bartlett, cuando ferozmente se decia en c…","RT @Pipe_cm: @ ProfeGaby1961 @umbaldi @lopezobrador_ Mmmm, because Bartlett's eggs lasted a little while, when it was fiercely ...",-0.1875
"RT @nestora_salgado: En la #reconciliación caben las disculpas públicas por difamaciones, calumnias, ofensas y un largo etc. También su rec…","RT @nestora_salgado: In the # reconciliation, public apologies for defamation, slander, offenses and a long etc. Also your rec ...",-0.025
"@lopezobrador_ Make México greate again 🇲🇽,@lopezobrador_","RT @nestora_salgado: In the # reconciliation, public apologies for defamation, slander, offenses and a long etc. Also your rec ...",-0.025
"RT @TuitEmil: Pinches chairos ilusos y pendejos
Hasta creen que el narco loco @lopezobrador_ los tomará en cuenta para hacer sus consultas…","RT @TuitEmil: Pinches dreamers and assholes
They even believe that the crazy drug lord @lopezobrador_ will take them into account to make their inquiries ...",-0.6
"RT @epigmenioibarra: No toca a @lopezobrador_ actuar contra corruptos,no debe el presidente hacer -como en el pasado- que fiscales y jueces…","RT @epigmenioibarra: It's not up to @lopezobrador_ to act against corrupt people, the president should not do - as in the past - prosecutors and judges ...",-0.375
"RT @epigmenioibarra: No toca a @lopezobrador_ actuar contra corruptos,no debe el presidente hacer -como en el pasado- que fiscales y jueces…","RT @epigmenioibarra: It's not up to @lopezobrador_ to act against corrupt people, the president should not do - as in the past - prosecutors and judges ...",-0.375
RT @Patrici10041368: En lugar de seguir con el aburrido tema de Barlett ! Vean el cv ! De esta dama ! @Rogelio20176735 @MiguelAngValdes @jm…,RT @ Patrici10041368: Instead of continuing with the boring Barlett theme! See the cv! This lady! @ Rogelio20176735 @MiguelAngValdes @ jm ...,-1.0
RT @PdPagina: Legalmente no es presidente electo pero @lopezobrador_ se ha convertido en el virtual mandatario. Un gobierno paralelo que co…,RT @PdPagina: Legally he is not president-elect but @lopezobrador_ has become the virtual agent. A parallel government that co ...,-0.05
"RT @epigmenioibarra: No toca a @lopezobrador_ actuar contra corruptos,no debe el presidente hacer -como en el pasado- que fiscales y jueces…","RT @epigmenioibarra: It's not up to @lopezobrador_ to act against corrupt people, the president should not do - as in the past - prosecutors and judges ...",-0.375
RT @DiegoFCevallos: Y @lopezobrador_ quiere hacer más grande a este sistema estatal corrupto. https://t.co/vfr6MblUgQ,RT @DiegoFCevallos: And @lopezobrador_ wants to make this corrupt state system bigger. https://t.co/vfr6MblUgQ,-0.09999999999999999
