Tweet,Tweet,0.0
RT @LizbethCaro07: @El_Universal_Mx @cuauhtemocb10 @lopezobrador_ Así son de llorones los del América,RT @ LizbethCaro07: @El_Universal_Mx @ cuauhtemocb10 @lopezobrador_ This is how those of America are weeping,0.0
Ojo @PartidoMorenaMx @lopezobrador_ @tatclouthier @yeidckol  https://t.co/F20wuAkPyh,Eye @PartidoMorenaMx @lopezobrador_ @tatclouthier @yeidckol https://t.co/F20wuAkPyh,0.0
RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,"RT @LaydaSansores: ""We must put order in the energy sector"" -says @lopezobrador_ when defending the appointment of @ ManuelBartlett.- ""Today ...",0.0
"RT @EuniceRendon: Como parte de la estrategia de pacificación y reconciliación nacional de @lopezobrador_, se llevarán a cabo 18 foros y 25…","RT @EuniceRendon: As part of the strategy of pacification and national reconciliation of @lopezobrador_, 18 forums will be held and 25 ...",0.0
"RT @epigmenioibarra: Yo tengo Presidente no Tlatoani
No exijo a @lopezobrador_ sacrificios humanos para legitimarse.
Los quinazos, meter a…","RT @epigmenioibarra: I have President not Tlatoani
I do not demand @lopezobrador_ human sacrifices to legitimize.
Los quinazos, tuck ...",0.0
"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…","RT @lopezobrador_: We continue with the field work to start, from December 1, the sowing program of one million hectares ...",0.0
Te lo dije amigo ... @tonibalanza1 meterá a la carcel a los que sabe que en seis años pueden quitarles el pastel ..… https://t.co/bzYf3fNmrZ,I told you friend ... @ tonibalanza1 put to jail to those who know that in six years they can remove the cake .. ... https://t.co/bzYf3fNmrZ,0.0
@lopezobrador_  https://t.co/J7GpaTmDAO,@lopezobrador_ https://t.co/J7GpaTmDAO,0.0
RT @m_zamarripa: Difiero @DiegoPetersen en que ”Algo similar le puede ocurrir a #AMLO si no administra su capital político”. Fox no tenia i…,"RT @m_zamarripa: Difiero @DiegoPetersen in that ""Something similar can happen to #AMLO if it does not manage its political capital"". Fox did not have i ...",0.0
RT @nero_vermx: @cesamo70 @armandobon64 @TiburonJaro8 @_KatKaramelo_ @lopezobrador_ @rocionahle @Narusailor Decía Porfirio Díaz cuando algú…,RT @nero_vermx: @ cesamo70 @ armandobon64 @ TiburonJaro8 @_KatKaramelo_ @lopezobrador_ @rocionahle @Narusailor Porfirio Díaz said when some ...,0.0
@PabloHiriart @szurita @lopezobrador_ @JoseAMeadeK Que pregunta tan absurda...acaso lo hizo en las elecciones pasadas??? 🤦🏻‍♀️,RT @nero_vermx: @ cesamo70 @ armandobon64 @ TiburonJaro8 @_KatKaramelo_ @lopezobrador_ @rocionahle @Narusailor Porfirio Díaz said when some ...,0.0
RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,"RT @LaydaSansores: ""We must put order in the energy sector"" -says @lopezobrador_ when defending the appointment of @ ManuelBartlett.- ""Today ...",0.0
"RT @vobymx: @lopezobrador_ ¿Qué o quién es AGROMOD?, ¿acaso le vamos a comprar los arbolitos a AGROMOD? Digo si se puede saber","RT @vobymx: @lopezobrador_ What or who is AGROMOD ?, are we going to buy the trees from AGROMOD? I say if you can know",0.0
RT @Ser_Imperial: @lopezobrador_  https://t.co/yjAwCXUwQ6,RT @Ser_Imperial: @lopezobrador_ https://t.co/yjAwCXUwQ6,0.0
RT @luieslo: @lopezobrador_ Quien es el dueño de Agromod? Alfonso Romo...que no se va a licitar este contrato?? Ya empezó la repartición? @…,RT @luieslo: @lopezobrador_ Who is the owner of Agromod? Alfonso Romo ... who is not going to bid this contract? Has the distribution started? @ ...,0.0
"@vax_jj @lili_0069 @rhgirard @econokafka @lopezobrador_ @ABarrancoCh https://t.co/mS7CVGAnfG No soy tu chairo, mejo… https://t.co/BCNkYcbpd1","@vax_jj @ lili_0069 @rhgirard @econokafka @lopezobrador_ @ABarrancoCh https://t.co/mS7CVGAnfG No soy tu chairo, mejo ... https://t.co/BCNkYcbpd1",0.0
"RT @RaymundoUtrera: @nhassoeh @AlmendraYek @PedroRamosFranc @Monicucha @PabloHiriart @lopezobrador_ @JoseAMeadeK ¿Recibir la crítica?, ja!,…","RT @RaymundoUtrera: @nhassoeh @AlmendraYek @PedroRamosFranc @Monicucha @PabloHiriart @lopezobrador_ @JoseAMeadeK ¿Recibir la crítica ?, ja !, ...",0.0
RT @delgado1961: @lopezobrador_ Solo una pegunta? De quien Agromod? Nos es de Romo?,RT @ delgado1961: @lopezobrador_ Just one question? From whom Agromod? Is it from Romo?,0.0
@miositopanzon @Wilfrid78276543 @rocionahle @lopezobrador_ Esos van pa secretarias...,@miositopanzon @ Wilfrid78276543 @rocionahle @lopezobrador_ These van pa secretaries ...,0.0
"RT @jgnaredo: Dice @jorgeramosnews que @lopezobrador_ comienza a “traicionar” a sus votantes por haber nombrado a Bartlett en la CFE.

Duda…","RT @jgnaredo: @jorgeramosnews says that @lopezobrador_ begins to ""betray"" its voters for having named Bartlett in the CFE.

Doubt…",0.0
"RT @koyuca: @lopezobrador_ otro negocio de tu cómplice alfonso romo, presidente del grupo plenus dueño de agromod y no, no es casualidad ht…","RT @koyuca: @lopezobrador_ another business of your accomplice alfonso romo, president of the group plenus owner of agromod and no, it's no accident ht ...",0.0
https://t.co/7uGotPIh4Y,https://t.co/7uGotPIh4Y,0.0
"RT @QuesaVerdades: Me acaban de mandar un mensaje a la página de facebook diciendo que el proyecto de crear 400,000 empleos en la siembra d…","RT @QuesaVerdades: I just sent a message to the facebook page saying that the project to create 400,000 jobs in the sowing of ...",0.0
#Destacado Asegura @lopezobrador_ que no será tapadera de nadie | https://t.co/4aVGqma1LA,#Destacado Secures @lopezobrador_ that will not be anyone's cover | https://t.co/4aVGqma1LA,0.0
RT @BibiMonteroDR: @lopezobrador_ Algunos dicen que por qué no reconociste el triunfo de Calderón y Peña. ¿Se debe reconocer a quienes te r…,RT @BibiMonteroDR: @lopezobrador_ Some say that you did not recognize the triumph of Calderón and Peña. Should you recognize who you r ...,0.0
"Dicen que el pastor conoce sus ovejas y estas le conocen a él. Amlo, @lopezobrador_ era la oveja perdida pero ha vu… https://t.co/6cPjuVLwka","They say that the shepherd knows his sheep and they know him. Amlo, @lopezobrador_ was the lost sheep but has vu ... https://t.co/6cPjuVLwka",0.0
"@Chabely21462194 @humovic @salgado_jorge @RoanaBuenavent1 @ABarrancoCh @lopezobrador_ -Esté aja! Chabely , que no e… https://t.co/gefEMNzNH3","@ Chabely21462194 @humovic @salgado_jorge @ RoanaBuenavent1 @ABarrancoCh @lopezobrador_ -Yes aja! Chabely, that is not ... https://t.co/gefEMNzNH3",0.0
RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,"RT @LaydaSansores: ""We must put order in the energy sector"" -says @lopezobrador_ when defending the appointment of @ ManuelBartlett.- ""Today ...",0.0
@lopezobrador_ Mmm y esa empresa de quien es?,@lopezobrador_ Mmm and that company who is it?,0.0
Vision de Estado es lo que hace a el jefe de Estado y aqui lo podemos constatar.,Vision of the State is what makes the Head of State and here we can verify it.,0.0
@lopezobrador_ @GarciaPosti Chupalo,@lopezobrador_ @GarciaPosti Chupalo,0.0
"RT @moushes: #Mexico es pro vida como #ArgentinaEsProvida, escuchen bien @lopezobrador_ y @M_OlgaSCordero, defenderemos la vida desde la co…","RT @moushes: #Mexico is pro-life like #ArgentinaEsProvida, listen well @lopezobrador_ and @M_OlgaSCordero, we will defend life from the co ...",0.0
"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…","RT @lopezobrador_: We continue with the field work to start, from December 1, the sowing program of one million hectares ...",0.0
https://t.co/JBxzSme78f No a Deschamps en Pemex..@lopezobrador_,https://t.co/JBxzSme78f No a Deschamps in Pemex .. @ lopezobrador_,0.0
"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…","RT @lopezobrador_: We continue with the field work to start, from December 1, the sowing program of one million hectares ...",0.0
Quiero que @lopezobrador_ sea mi sugar daddy.,I want @lopezobrador_ to be my sugar daddy.,0.0
"RT @epigmenioibarra: ""Busco legitimar a @lopezobrador_ ?"" 
No Sr. a AMLO lo legitiman, nada más 30 millones de votos.
La campaña ya termino…","RT @epigmenioibarra: ""I seek to legitimize @lopezobrador_?""
No Mr. AMLO is legitimized, just 30 million votes.
The campaign is over ...",0.0
@lopezobrador_ VA A PASAR ALA HISTORIA CON EL PRESIDENTE QUE ENGAŃO Y LES LAVO LA CABEZA A MEDIO MEXICO DICIENDO QU… https://t.co/U4dZ4R99nm,@lopezobrador_ GO TO HISTORY WITH THE PRESIDENT THAT I GET THEM AND WASH THE HEAD TO MIDDLE MEXICO SAYING WHAT ... https://t.co/U4dZ4R99nm,0.0
RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,"RT @LaydaSansores: ""We must put order in the energy sector"" -says @lopezobrador_ when defending the appointment of @ ManuelBartlett.- ""Today ...",0.0
RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,"RT @LaydaSansores: ""We must put order in the energy sector"" -says @lopezobrador_ when defending the appointment of @ ManuelBartlett.- ""Today ...",0.0
"RT @Edd_Campe: Es difícil para muchos aceptar la reunión de @lopezobrador_ y @JoseAMeadeK lo sé, pero bajo las circunstancias de México, se…","RT @Edd_Campe: It is difficult for many to accept the meeting of @lopezobrador_ and @JoseAMeadeK I know, but under the circumstances of Mexico, it ...",0.0
"@TigreCharr0 @lopezobrador_ @tatclouthier @m_ebrard @martibatres @Claudiashein Quien candidatea a esos? Lagrimita, chuponcito?","@ TigreCharr0 @lopezobrador_ @tatclouthier @m_ebrard @martibatres @Claudiashein Who is the candidate? Lagrimita, chuponcito?",0.0
"RT @jgnaredo: Dice @jorgeramosnews que @lopezobrador_ comienza a “traicionar” a sus votantes por haber nombrado a Bartlett en la CFE.

Duda…","RT @jgnaredo: @jorgeramosnews says that @lopezobrador_ begins to ""betray"" its voters for having named Bartlett in the CFE.

Doubt…",0.0
@lopezobrador_ VA A PASAR ALA HISTORIA COMO EL PRESIDENTE QUE ENGAŃO Y LES LAVO LA CABEZA A MEDIO MEXICO DICIENDO Q… https://t.co/53P2DNC8EB,@lopezobrador_ WILL GO TO THE HISTORY LIKE THE PRESIDENT THAT DECEIVED AND I WASH THE HEAD TO MIDDLE MEXICO SAYING Q ... https://t.co/53P2DNC8EB,0.0
RT @RosaManilla: @Rogelio20176735 @MAHP1804 @ssamtaoying @LucioValerio1 @martinzhers123 @chioreya @PoetaCaminate @Patrici10041368 @Maclovia…,RT @RosaManilla: @Rogelio20176735 @MAHP1804 @ssamtaoying @LucioValerio1 @martinzhers123 @chioreya @PoetaCaminate @Patrici10041368 @Maclovia…,0.0
"RT @TamaulipasI: #VIDEO Al carecer México de banca nacional, @AlfredoJalifeR_ afirma sería necesario para gobierno de @lopezobrador_ tener…","RT @TamaulipasI: #VIDEO Since Mexico lacks national banking, @AlfredoJalifeR_ would be necessary for the government of @lopezobrador_ to have ...",0.0
RT @RosaManilla: @ssamtaoying @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP…,RT @RosaManilla: @ssamtaoying @chioreya @bascomolaveis @arbolitodechoco @ Patrici10041368 @ RoanaBuenavent1 @lefjohnny @Jlperezacevedo @ MAHP ...,0.0
RT @RosaManilla: @ssamtaoying @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP…,RT @RosaManilla: @ssamtaoying @chioreya @bascomolaveis @arbolitodechoco @ Patrici10041368 @ RoanaBuenavent1 @lefjohnny @Jlperezacevedo @ MAHP ...,0.0
"@lopezobrador_ Hay que parar la maldita diabetes ,","@lopezobrador_ You have to stop the damn diabetes,",0.0
Booooom amlobitches,Booooom amlobitches,0.0
"RT @MarianaDiazLuna: Se me ocurre preguntar si tú en lugar de venderte como un disque ""periodista"" hubieras sido... lo que eres, un Don nad…","RT @MarianaDiazLuna: It occurs to me to ask if instead of selling you as a ""journalist"" disc you would have been ... what you are, a Don nad ...",0.0
"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…","RT @lopezobrador_: We continue with the field work to start, from December 1, the sowing program of one million hectares ...",0.0
RT @RosaManilla: @ssamtaoying @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP…,RT @RosaManilla: @ssamtaoying @chioreya @bascomolaveis @arbolitodechoco @ Patrici10041368 @ RoanaBuenavent1 @lefjohnny @Jlperezacevedo @ MAHP ...,0.0
RT @BigDataTalks: #MEXICO así recibieron la distribución del poder estatal los últimos presidentes y así lo recibirá @lopezobrador_ (se inc…,RT @BigDataTalks: #MEXICO received the distribution of state power last presidents and will receive it @lopezobrador_ (inc ...,0.0
¿Se acabo la fiesta del cambio en México? @lopezobrador_ el pueblo no te eligió para continuar con lo mismo de siem… https://t.co/ZRrUvsDS6e,Is the party of change in Mexico over? @lopezobrador_ the town did not choose you to continue with the same thing as always ... https://t.co/ZRrUvsDS6e,0.0
"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…","RT @lopezobrador_: We continue with the field work to start, from December 1, the sowing program of one million hectares ...",0.0
Tuitazoooo!,Tuitazoooo!,0.0
RT @RosaManilla: @ssamtaoying @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP…,RT @RosaManilla: @ssamtaoying @chioreya @bascomolaveis @arbolitodechoco @ Patrici10041368 @ RoanaBuenavent1 @lefjohnny @Jlperezacevedo @ MAHP ...,0.0
"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…","RT @lopezobrador_: We continue with the field work to start, from December 1, the sowing program of one million hectares ...",0.0
"RT @ovandoster: ¿Alguien reclamó por la ""falta de interés"" de AMLO en las energía renovables? https://t.co/EUR7re4ZMf","RT @ovandoster: Did someone complain about AMLO's ""lack of interest"" in renewable energy? https://t.co/EUR7re4ZMf",0.0
"RT @EuniceRendon: Como parte de la estrategia de pacificación y reconciliación nacional de @lopezobrador_, se llevarán a cabo 18 foros y 25…","RT @EuniceRendon: As part of the strategy of pacification and national reconciliation of @lopezobrador_, 18 forums will be held and 25 ...",0.0
@lopezobrador_ ASI Ó MAS PENDEJOS PONEN CAMBIADAS LAS BANDERAS .😂😂😂😂 https://t.co/JRVbr7pJVu,"RT @EuniceRendon: As part of the strategy of pacification and national reconciliation of @lopezobrador_, 18 forums will be held and 25 ...",0.0
@FGeopolitico @lopezdoriga @AlfredoJalifeR_ @julioastillero @fernandeznorona @rubengluengas @lopezobrador_ Te pido… https://t.co/fEEl52T3ty,@FGeopolitico @lopezdoriga @AlfredoJalifeR_ @julioastillero @fernandeznorona @rubengluengas @lopezobrador_ I ask you ... https://t.co/fEEl52T3ty,0.0
RT @RosaManilla: @lefjohnny @ssamtaoying @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @Jlperezacevedo @MAHP…,RT @RosaManilla: @lefjohnny @ssamtaoying @chioreya @bascomolaveis @arbolitodechoco @ Patrici10041368 @ RoanaBuenavent1 @Jlperezacevedo @ MAHP ...,0.0
RT @aldemok: Tal y como lo dijo el entrevista pasada el maester de Master @AlfredoJalifeR_ México no tiene banca no tiene ejército no tenem…,RT @aldemok: As it was said in the interview last Master's Master @ AlfredoJalifeR_ Mexico does not have a bank does not have an army ...,0.0
"RT @ivonnemelgar: En apego a su biografía de funcionario transexenal, @JoseAMeadeK admite ser considerado como parte de la tecnocracia en t…","RT @ivonnemelgar: In keeping with his transsexual civil servant biography, @JoseAMeadeK admits to being considered part of the technocracy in t ...",0.0
"RT @Edd_Campe: Es difícil para muchos aceptar la reunión de @lopezobrador_ y @JoseAMeadeK lo sé, pero bajo las circunstancias de México, se…","RT @Edd_Campe: It is difficult for many to accept the meeting of @lopezobrador_ and @JoseAMeadeK I know, but under the circumstances of Mexico, it ...",0.0
RT @1004Laf: @hitucomolaveis @RosaManilla @chioreya @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP1804…,RT @ 1004Laf: @hitucomolaveis @RosaManilla @chioreya @arbolitodechoco @ Patrici10041368 @ RoanaBuenavent1 @lefjohnny @Jlperezacevedo @ MAHP1804 ...,0.0
RT @hitucomolaveis: @RosaManilla @chioreya @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP1804 @ssamtao…,RT @hitucomolaveis: @RosaManilla @chioreya @arbolitodechoco @ Patrici10041368 @ RoanaBuenavent1 @lefjohnny @Jlperezacevedo @ MAHP1804 @ ssamtao ...,0.0
RT @ssamtaoying: @RosaManilla @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @lefjohnny @Jlperezacevedo @MAHP…,RT @ssamtaoying: @RosaManilla @chioreya @bascomolaveis @arbolitodechoco @ Patrici10041368 @ RoanaBuenavent1 @lefjohnny @Jlperezacevedo @ MAHP ...,0.0
RT @lefjohnny: @RosaManilla @ssamtaoying @chioreya @hitucomolaveis @arbolitodechoco @Patrici10041368 @RoanaBuenavent1 @Jlperezacevedo @MAHP…,RT @lefjohnny: @RosaManilla @ssamtaoying @chioreya @bascomolaveis @arbolitodechoco @ Patrici10041368 @ RoanaBuenavent1 @Jlperezacevedo @ MAHP ...,0.0
"RT @QuesaVerdades: Me acaban de mandar un mensaje a la página de facebook diciendo que el proyecto de crear 400,000 empleos en la siembra d…","RT @QuesaVerdades: I just sent a message to the facebook page saying that the project to create 400,000 jobs in the sowing of ...",0.0
@hiramzanches @fisgonmonero @lopezobrador_ @ManuelBartlett @Desde_Izquierda @Alecazarez1 @morenacamina @radioamlo… https://t.co/MWI4qSfM6L,@hiramzanches @fisgonmonero @lopezobrador_ @ManuelBartlett @Desde_Izquierda @ Alecazarez1 @morenacamina @ radioamlo ... https://t.co/MWI4qSfM6L,0.0
"RT @NachoRgz: Bartlett está con @lopezobrador_ desde hace AÑOS, incluso antes que fundara MORENA. Así que decir que AMLO ""traicionó"" a sus…","RT @NachoRgz: Bartlett is with @lopezobrador_ for YEARS, even before he founded MORENA. So to say that AMLO ""betrayed"" his ...",0.0
RT @OvejaElectrica_: Lo guardamos y me cago en tu tuit. 😂😂😂😂 https://t.co/ZlShURkAuq,"RT @NachoRgz: Bartlett is with @lopezobrador_ for YEARS, even before he founded MORENA. So to say that AMLO ""betrayed"" his ...",0.0
"RT @epigmenioibarra: ""Busco legitimar a @lopezobrador_ ?"" 
No Sr. a AMLO lo legitiman, nada más 30 millones de votos.
La campaña ya termino…","RT @epigmenioibarra: ""I seek to legitimize @lopezobrador_?""
No Mr. AMLO is legitimized, just 30 million votes.
The campaign is over ...",0.0
RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,"RT @LaydaSansores: ""We must put order in the energy sector"" -says @lopezobrador_ when defending the appointment of @ ManuelBartlett.- ""Today ...",0.0
@PabloHiriart @lopezobrador_ @JoseAMeadeK Qué oregunta tan idiota Pablito.,@PabloHiriart @lopezobrador_ @JoseAMeadeK What an idiot question Pablito.,0.0
@jgnaredo @taller2006 @jorgeramosnews @lopezobrador_ Yo sí voté por AMLO y yo sí me siento traicionado. ¿Quién te d… https://t.co/UlGVfo5rxQ,@jgnaredo @ taller2006 @jorgeramosnews @lopezobrador_ I did vote for AMLO and I do feel betrayed. Who gives you ... https://t.co/UlGVfo5rxQ,0.0
RT @FGeopolitico: Se concreta lo dicho hace un mes por el Dr @AlfredoJalifeR_? Un acercamiento el día de hoy entre @LopezObrador_  y @JoseA…,RT @FGeopolitico: What has been said a month ago by Dr @AlfredoJalifeR_? An approach today between @LopezObrador_ and @ JoseA ...,0.0
"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…","RT @lopezobrador_: We continue with the field work to start, from December 1, the sowing program of one million hectares ...",0.0
"RT @jgnaredo: Dice @jorgeramosnews que @lopezobrador_ comienza a “traicionar” a sus votantes por haber nombrado a Bartlett en la CFE.

Duda…","RT @jgnaredo: @jorgeramosnews says that @lopezobrador_ begins to ""betray"" its voters for having named Bartlett in the CFE.

Doubt…",0.0
"RT @lopezobrador_: El 1 de julio por la noche me habló por teléfono para reconocer nuestro triunfo, José Antonio Meade. En ese entonces, le…","RT @lopezobrador_: On July 1, at night, he spoke to me on the phone to recognize our victory, José Antonio Meade. At that time, you ...",0.0
RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,"RT @LaydaSansores: ""We must put order in the energy sector"" -says @lopezobrador_ when defending the appointment of @ ManuelBartlett.- ""Today ...",0.0
"RT @epigmenioibarra: Yo tengo Presidente no Tlatoani
No exijo a @lopezobrador_ sacrificios humanos para legitimarse.
Los quinazos, meter a…","RT @epigmenioibarra: I have President not Tlatoani
I do not demand @lopezobrador_ human sacrifices to legitimize.
Los quinazos, tuck ...",0.0
"RT @jgnaredo: Dice @jorgeramosnews que @lopezobrador_ comienza a “traicionar” a sus votantes por haber nombrado a Bartlett en la CFE.

Duda…","RT @jgnaredo: @jorgeramosnews says that @lopezobrador_ begins to ""betray"" its voters for having named Bartlett in the CFE.

Doubt…",0.0
RT @laburbujavip: @ChagonEvaristo @SeorTenebroso4 @carmen_olvera @lopezobrador_ @TKazynz @Baduel78 @uliseslr81 @PsAstolfo @FEMINICIDI2 @laG…,RT @laburbujavip: @ChagonEvaristo @ SeorTenebroso4 @carmen_olvera @lopezobrador_ @TKazynz @ Baduel78 @ uliseslr81 @PsAstolfo @ FEMINICIDI2 @ laG ...,0.0
"@PabloHiriart @lopezobrador_ @JoseAMeadeK Qué pregunta tan idiota Pablito.
Quien te patroncina?","@PabloHiriart @lopezobrador_ @JoseAMeadeK What an idiot question Pablito.
Who patroncina you?",0.0
"@9chuytorres @YazmnIbarra @StopTouristAbus @MATYLE34 @jorgeramosnews @lopezobrador_ @jorgeramos Yo sí sé.
Controlab… https://t.co/gvkd00KOYJ","@ 9chuytorres @YazmnIbarra @StopTouristAbus @ MATYLE34 @jorgeramosnews @lopezobrador_ @jorgeramos I do know.
Controlab ... https://t.co/gvkd00KOYJ",0.0
"RT @jgnaredo: Dice @jorgeramosnews que @lopezobrador_ comienza a “traicionar” a sus votantes por haber nombrado a Bartlett en la CFE.

Duda…","RT @jgnaredo: @jorgeramosnews says that @lopezobrador_ begins to ""betray"" its voters for having named Bartlett in the CFE.

Doubt…",0.0
"RT @epigmenioibarra: Yo tengo Presidente no Tlatoani
No exijo a @lopezobrador_ sacrificios humanos para legitimarse.
Los quinazos, meter a…","RT @epigmenioibarra: I have President not Tlatoani
I do not demand @lopezobrador_ human sacrifices to legitimize.
Los quinazos, tuck ...",0.0
"@GabrielRafaelMM @gab_cab @logof781 @jgnaredo @LeonKrauze @lopezobrador_ Aún si no tuviéramos apellidos, MEXICANOS… https://t.co/nfaKwixl3l","@GabrielRafaelMM @gab_cab @ logof781 @jgnaredo @LeonKrauze @lopezobrador_ Even if we do not have surnames, MEXICANOS ... https://t.co/nfaKwixl3l",0.0
"RT @epigmenioibarra: Yo tengo Presidente no Tlatoani
No exijo a @lopezobrador_ sacrificios humanos para legitimarse.
Los quinazos, meter a…","RT @epigmenioibarra: I have President not Tlatoani
I do not demand @lopezobrador_ human sacrifices to legitimize.
Los quinazos, tuck ...",0.0
@cesamo70 @ManuelBartlett @CFEmx El problema de la @CFEmx es político: deja que barra con la bola de sanguijuelas n… https://t.co/mp8OQpGFzM,@ cesamo70 @ManuelBartlett @CFEmx The problem of the @CFEmx is political: let it bar with the leeches ball n ... https://t.co/mp8OQpGFzM,0.0
RT @martinzhers123: @RPE71 @PoetaCaminate #NiPerdonNiOlvido e investigación a fondo para #Meade cuando estuvo al frente de la SHCP. @lopezo…,RT @ martinzhers123: @ RPE71 @PoetaCaminate #NiPerdonNiOlvido and in-depth research for #Meade when he was in charge of the SHCP. @ lopezo ...,0.0
@lopezobrador_ Y AHORA QUE TIENEN QUE DECIR LOS PEJES ZOMBIES ?  DE ESTO ? https://t.co/NLU51GjjAf,@lopezobrador_ AND NOW THAT THEY HAVE TO SAY THE PEZES ZOMBIES? FROM THIS ? https://t.co/NLU51GjjAf,0.0
"RT @PabloHiriart: Se me ocurre preguntar si el derrotado fuera @lopezobrador_ y el triunfador @JoseAMeadeK , habría ido el perdedor a salud…","RT @PabloHiriart: It occurs to me to ask if the defeated were @lopezobrador_ and the winner @JoseAMeadeK, the loser would have gone to health ...",0.0
@martinzhers123 @RPE71 @PoetaCaminate @lopezobrador_ @tatclouthier @yeidckol @BeatrizGMuller @Cruzamaranta… https://t.co/GhOGEAaNhI,@ martinzhers123 @ RPE71 @PoetaCaminate @lopezobrador_ @tatclouthier @yeidckol @BeatrizGMuller @ Cruzamaranta ... https://t.co/GhOGEAaNhI,0.0
